Language Pair,auc,f1,l_distance,target_cultural_index,aux_cultural_index,cultural_distance,Indi_score_1,Indi_score_2,indi_score_distance,single-task-avg-auc,delta_auc
albanian-arabic,0.741198645,0.0,83.2,0.11,0.15,0.04,20,38,18,0.7411879781432453,1.0666856754659726e-05
albanian-chinese,0.74243245,0.008403361,77.3,0.1525,0.15,0.0025,20,20,0,0.7369124076314527,0.0055200423685473066
albanian-danish,0.74243245,0.008403361,70.6,0.15,0.135,0.015,20,74,54,0.7369124076314527,0.0055200423685473066
albanian-english,0.873639496,0.398921833,69.2,0.0,0.15,0.15,20,91,71,0.8002231879082918,0.07341630809170818
albanian-estonian,0.747702198,0.243632337,85.2,0.15,0.13,0.02,20,60,40,0.6833040658521072,0.0643981321478928
albanian-german,0.74243245,0.008403361,81.4,0.15,0.095,0.055,20,67,47,0.7369124076314527,0.0055200423685473066
albanian-greek,0.74243245,0.008403361,71.7,0.15,0.09,0.06,20,35,15,0.7369124076314527,0.0055200423685473066
albanian-hindi,0.783496452,0.412241224,70.5,0.15,0.11,0.04,20,48,28,0.8002231879082918,-0.01672673590829188
albanian-italian,0.783496452,0.412241224,64.7,0.15,0.05,0.1,20,70,50,0.8002231879082918,-0.01672673590829188
albanian-latvian,0.747702198,0.243632337,71.2,0.15,0.12,0.03,20,70,50,0.6833040658521072,0.0643981321478928
albanian-portuguese,0.783496452,0.412241224,71.5,0.15,0.076666667,0.073333333,20,27,7,0.8002231879082918,-0.01672673590829188
albanian-russian,0.816579524,0.469135802,66.3,0.125,0.15,0.025,20,35,15,0.7793180692230464,0.03726145477695364
albanian-turkish,0.74243245,0.008403361,86.5,0.15,0.126666667,0.023333333,20,37,17,0.7369124076314527,0.0055200423685473066
albanian-ukraninan,0.772350028,0.426116838,64.0,0.15,0.11,0.04,20,25,5,0.7804789958385184,-0.008128967838518464
arabic-chinese,0.742326614,0.208715596,86.9,0.1525,0.11,0.0425,38,20,18,0.7411879781432453,0.0011386358567546662
arabic-danish,0.741198645,0.0,84.9,0.11,0.135,0.025,38,74,36,0.7411879781432453,1.0666856754659726e-05
arabic-english,0.862979828,0.260869565,85.5,0.0,0.11,0.11,38,91,53,0.8044987584200844,0.0584810695799155
arabic-estonian,0.765478244,0.470588235,89.3,0.11,0.13,0.02,38,60,22,0.6875796363638997,0.07789860763610024
