target_lang,aux_lang,limit,auc,f1
hindi,-,1000,0.863533968185131,0.086614173228347
surzhyk,hindi,1000,0.832022792022792,0.666666666666667
turkish,hindi,1000,0.783496451723578,0.412241224122412
portuguese,hindi,1000,0.850093059395385,0.278481012658228
latvian,hindi,1000,0.607683754626348,0
italian,hindi,1000,0.850093059395385,0.278481012658228
greek,hindi,1000,0.783496451723578,0.412241224122412
german,hindi,1000,0.783496451723578,0.412241224122412
estonian,hindi,1000,0.607683754626348,0
danish,hindi,1000,0.783496451723578,0.412241224122412
albanian,hindi,1000,0.783496451723578,0.412241224122412
arabic,hindi,1000,0.759216663471982,0.198830409356725
english,hindi,1000,0.850093059395385,0.278481012658228
russian,hindi,1000,0.792207792207792,0.48936170212766
chinese,hindi,1000,0.783496451723578,0.412241224122412
surzhyk,-,1000,0.824045584045584,0.592592592592593
hindi,surzhyk,1000,0.85430030778868,0.167272727272727
turkish,surzhyk,1000,0.772350028390224,0.426116838487973
portuguese,surzhyk,1000,0.85430030778868,0.167272727272727
latvian,surzhyk,1000,0.64370123631782,0.041162227602906
italian,surzhyk,1000,0.85430030778868,0.167272727272727
greek,surzhyk,1000,0.772350028390224,0.426116838487973
german,surzhyk,1000,0.772350028390224,0.426116838487973
estonian,surzhyk,1000,0.64370123631782,0.041162227602906
danish,surzhyk,1000,0.772350028390224,0.426116838487973
albanian,surzhyk,1000,0.772350028390224,0.426116838487973
arabic,surzhyk,1000,0.805475688454412,0.597315436241611
english,surzhyk,1000,0.85430030778868,0.167272727272727
russian,surzhyk,1000,0.765474784955305,0.473684210526316
chinese,surzhyk,1000,0.772350028390224,0.426116838487973
turkish,-,1000,0.736912407631453,0
hindi,turkish,1000,0.873639495732519,0.398921832884097
surzhyk,turkish,1000,0.835099715099715,0.614173228346457
portuguese,turkish,1000,0.873639495732519,0.398921832884097
latvian,turkish,1000,0.629616820222065,0
italian,turkish,1000,0.873639495732519,0.398921832884097
greek,turkish,1000,0.74243245032714,0.008403361344538
german,turkish,1000,0.74243245032714,0.008403361344538
estonian,turkish,1000,0.629616820222065,0
danish,turkish,1000,0.74243245032714,0.008403361344538
albanian,turkish,1000,0.74243245032714,0.008403361344538
arabic,turkish,1000,0.741198645453965,0
